rxn_ID	ml_Control	ml_FeLim	ml_FeEx	ml_ZnLim	ml_ZnEx
rxn25641_d0_r	3.183136	0	4.3873596	1.9194641	0.69992065
rxn25647_d0_r	29.644043	26.63855	28.362488	30.634644	30.790833
rxn25649_d0_r	4.8600464	0.13604736	0.334198	5.6040344	5.0812683
rxn25661_d0_r	2.4927063	0.37139893	3.9169006	2.209259	1.1460266
rxn25716_d0_r	0	4.385254	0.5097656	1.0756836	0.7441406
rxn25718_d0_r	3.0732727	0	3.980133	0.9742737	0.2373352
rxn25719_d0_r	0.28146362	2.4180298	0.52005005	1.5507202	1.0839233
rxn25743_d0_r	0	0	0	0	0
rxn25747_d0_r	2.6662292	0	0.6453247	1.7200012	1.7590942
rxn25750_d0_r	1.6471863	0	0	3.5396423	3.185791
rxn26013_d0_r	0	0	0	0	0
rxn26037_d0_r	0	0	0	0	0
rxn26477_d0	0	0	0	0	0
rxn27266_d0_r	24.211914	26.05017	8.413086	20.189941	24.115723
rxn27318_d0	0	0	0	0	0
rxn27927_d0_r	1.3249512	0	0.6071167	1.1825867	1.2928772
rxn28082_d0_r	0	0	0	0	0
rxn28083_d0_r	3.083313	0	0	3.2399902	0
rxn28487_d0_r	0	0	0	0	0
rxn28615_d0_r	0	0	0	0	0
rxn29919_d0_r	0	0	0	0	0
rxn37266_d0_r	0	0	0	0	0
rxn37651_d0_r	3.072113	0	2.9486694	4.631439	4.4937744
rxn00211_d0_r	2.9503174	0	2.1136475	4.2523193	3.9865112
rxn00834_d0_r	1.819397	0	0	1.1748047	1.1477661
rxn00213_d0_r	0	0	0	0	0
rxn00239_d0_r	5.1239014	0	1.3306885	1.0162964	1.225647
rxn00257_c0_r	69.253174	62.21631	69.15381	68.40845	69.01489
rxn00330_c0	0	0	0	4.3692656	2.2092097
rxn01362_c0	0	0	0	0	0
rxn00499_c0_r	30.256165	30.50824	26.628021	25.924042	28.777344
rxn04954_c0_r	17.2854	11.395508	17.3656	17.721924	18.64978
rxn00799_c0_r	51.56317	76.7439	55.76288	52.893005	54.288757
rxn01361_c0_r	13.528885	11.22333	14.688594	14.429267	13.703265
rxn09736_c0_i	183.78075	193.3408	187.9246	184.09964	182.41649
rxn05238_c0_o	148.85849	149.068	148.84573	148.90108	149.09839
rxn08730_c0_i	4.1658216	6.5046525	6.7236013	4.7523456	4.913143
rxn31154_d0_o	4.1226883	115.424995	122.523636	131.5382	120.183105
rxn05467_c0_o	102.19164	101.022606	99.40394	99.23667	98.81285
rxn05468_c0_o	204.19063	183.18428	179.52652	178.65158	183.43347
rxn09121_c0_i	31.075659	29.91745	28.088842	28.276648	29.300394
rxn05319_c0_o	18.948095	26.046759	19.97959	20.631262	18.88767
rxn05238_d0_i	76.363106	75.844444	76.393845	76.25684	75.77263
rxn05319_d0_i	315.70456	291.61768	305.63718	304.98703	308.01474
rxn05467_d0_i	161.78995	160.19917	165.26193	167.00336	168.08647
rxn05468_d0_i	56.179058	58.58273	63.191383	65.25783	62.841164
rxn08730_d0_o	323.5396	319.5276	320.89453	319.23987	318.98444
rxn09118_d0_o	0.007555982	0.0017623	0.006870348	0.007524768	0.007571654
rxn09121_d0_o	287.4348	291.6727	293.55508	290.75284	290.6106
rxn09736_d0_o	62.21995	61.877472	63.265877	62.578342	62.175045
rxn09817_d0_o	5.1859226	4.2402916	4.8327518	5.3015475	5.5121226
rxn09839_d0_o	0	0	0	2.1724224	1.0984997
rxn10929_d0_i	19.44391	12.411963	18.417948	18.643549	19.082743
rxn10967_d0_i	18.406063	19.242754	19.826345	20.533834	20.285984
rxn11013_d0_i	16.05342	14.126736	13.350469	15.550639	15.29485
rxn13360_d0_o	0.021638367	0	1.6253717	0.18735811	0.025742188
rxn13361_d0_i	11.463951	8.483317	10.94967	9.629606	8.278661
rxn13365_d0_o	15.560207	13.871299	15.752758	15.090221	15.812865
rxn29240_d0_r	340.46265	340.74466	343.60657	340.4467	340.51608
rxn29318_d0_i	37.435818	39.761913	37.536182	37.095177	36.949448
rxn29733_d0_i	1.6379364	0.8303121	2.3297584	2.5435498	1.9443963
rxn29785_d0_i	41.341026	38.240147	35.923355	38.559124	40.50344
rxn33186_d0_o	2.736518	1.882868	1.9642209	1.9250382	0.9450956
rxn39241_d0_o	17.216125	12.309448	16.868103	15.273071	14.900391
rxn39242_d0_o	2.0698242	0	0	0	0
rxn_cpd00008_c0_o	376.17404	380.10327	377.68567	378.14993	377.0676
rxn_cpd00002_c0_o	33.755978	31.628937	33.77082	33.480938	33.88923
rxn_cpd00103_c0_i	2.9000678	4.4245706	2.9463482	2.449689	4.081061
rxn08217_c0_i	16.049734	14.091844	16	15.736629	16
